,key_0,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error,track_id,track_name,country_x,country_y,c1,c2,c3,c4,c5,c6,Country,Alpha-2,Alpha-3,Continent,Anthem,country_lower,god,positivity,anger,sad,joy
5,angola,0.644,0.224,0.0,-18.446,1.0,0.0321,0.89,0.959,0.0877,0.571,110.727,audio_features,7hrCjUIObTQcDhUe4GzkCI,spotify:track:7hrCjUIObTQcDhUe4GzkCI,https://api.spotify.com/v1/tracks/7hrCjUIObTQcDhUe4GzkCI,https://api.spotify.com/v1/audio-analysis/7hrCjUIObTQcDhUe4GzkCI,77827.0,4.0,,7hrCjUIObTQcDhUe4GzkCI,"Angola: Angola [""O Fatherland, we shall never forget the heroes of the Fourth of February…""]",Angola,angola,#CE1126,#000000,#F7D416,#97820D,#544807,#E3711E,Angola,AO,AGO,Africa,"O Fatherland, we shall never forget The heroes of the Fourth of February. O Fatherland, we salute your sons Who died for our Independence. We honour the past and our history As by our work we build the New Man. (repeat previous two lines) Forward, Angola! Revolution through the power of the People! A United Country, Freedom, One People, one Nation! Let us raise our liberated voices To the glory of the peoples of Africa. We shall march, Angolan fighters, In solidarity with oppressed peoples. We shall fight proudly for Peace Along with the progressive forces of the world. ",angola,absent,0.5333333333333333,0.0,0.0,0.3333333333333333
19,belgium,0.501,0.11,7.0,-19.043,1.0,0.0334,0.931,0.913,0.209,0.535,100.938,audio_features,7goOE7w5L6R4x8Zx4B2qvu,spotify:track:7goOE7w5L6R4x8Zx4B2qvu,https://api.spotify.com/v1/tracks/7goOE7w5L6R4x8Zx4B2qvu,https://api.spotify.com/v1/audio-analysis/7goOE7w5L6R4x8Zx4B2qvu,62813.0,3.0,,7goOE7w5L6R4x8Zx4B2qvu,"Belgium: La Brabançonne (The Song of Brabant), ""Noble Belgium, for ever a dear land…""",Belgium,belgium,#000000,#ED2939,#FAE042,,,,Belgium,BE,BEL,Europe,"O dear Belgium, O holy land of the fathers Ã¢â‚¬â€œ Our soul and our heart are devoted to you! With blood to spill for you, O fatherland! We swear with one cry Ã¢â‚¬â€œ You shall live! So gladly bloom in beauty full, Into what freedom has taught you to be, And evermore shall sing your sons: The King, the Law, the Liberty! Faithful to the word that you may speak boldly, For King, for Freedom and for Law! To Law and King and Freedom, hail! The King, the Law, the Liberty",belgium,absent,0.5217391304347826,0.0,0.043478260869565216,0.30434782608695654
20,belize,0.324,0.178,5.0,-17.776,1.0,0.0357,0.919,0.923,0.0558,0.308,87.987,audio_features,2KuAxqFIaj3IUCapI3ZVwe,spotify:track:2KuAxqFIaj3IUCapI3ZVwe,https://api.spotify.com/v1/tracks/2KuAxqFIaj3IUCapI3ZVwe,https://api.spotify.com/v1/audio-analysis/2KuAxqFIaj3IUCapI3ZVwe,68000.0,4.0,,2KuAxqFIaj3IUCapI3ZVwe,"Belize: Land of the Free, ""O Land of the Free by the Carib Sea…"" (Olympic version)",Belize,belize,#003F87,#CE1126,#D5DBD6,#2A9104,#63A55C,#D0AF4C,Belize,BZ,BLZ,North_America,"O, Land of the Free by the Carib Sea, Our manhood we pledge to thy liberty! No tyrants here linger, despots must flee This tranquil haven of democracy The blood of our sires which hallows the sod, Brought freedom from slavery, oppression's rod By the might of truth, and the grace of God, No longer shall we be hewers of wood. Arise! ye sons of the Baymen's clan, Put on your armour, clear the land! Drive back the tyrants, let despots flee - Land of the Free by the Carib Sea! Nature has blessed thee with wealth untold, O'er mountains and valleys where prairies roll; Our fathers, the Baymen, valiant and bold Drove back the invader; this heritage hold From proud Rio Hondo to old Sarstoon, Through coral isle, over blue lagoon; Keep watch with the angels, the stars and moon; For freedom comes tomorrow's noon.",belize,present,0.5,0.038461538461538464,0.07692307692307693,0.15384615384615385
21,benin,0.362,0.375,0.0,-12.762,1.0,0.039,0.501,0.941,0.11,0.414,101.325,audio_features,3FZAqRf9D0B9yaK6U6kK3m,spotify:track:3FZAqRf9D0B9yaK6U6kK3m,https://api.spotify.com/v1/tracks/3FZAqRf9D0B9yaK6U6kK3m,https://api.spotify.com/v1/audio-analysis/3FZAqRf9D0B9yaK6U6kK3m,80000.0,4.0,,3FZAqRf9D0B9yaK6U6kK3m,"Benin: L'aube nouvelle (The Dawn of a New Day), ""Formerly, at her call, our ancestors…""",Benin,benin,#008751,#FCD116,#E8112D,,,,Benin,BJ,BEN,Africa,"Long ago, at their call, our ancestors, without weakness, Succeeded with courage, passion, full of happiness To deliver at the price of the blood of vivid battles. Hasten yourselves as well, builders of the present Stronger in unity, toiling everyday, For posterity, build tirelessly.  Children of Benin, arise! Sound the cry of freedom Sing at the first light of dawn; Children of Benin, arise!   When the wind blows anger and hatred everywhere. People of Benin, be proud, and of calm soul, Trusting in the future, behold your flag! In the green you will read the hope of renewal, In your ancestors red evokes courage; The yellow is a portent of the richest treasures.    Your sunny mountains, your palm trees, your greenery Dear Benin, your brightness is everywhere. Your soil offers each person the richest of fruits. Benin, may your united sons from henceforth In a brotherly spirit share the hope Of seeing you happy in abundance forever. ",benin,absent,0.6363636363636364,0.045454545454545456,0.045454545454545456,0.45454545454545453
22,bermuda,0.372,0.158,5.0,-16.936,1.0,0.0377,0.803,0.887,0.219,0.381,89.147,audio_features,5FuQ1wUveHPYAxHmqAiutP,spotify:track:5FuQ1wUveHPYAxHmqAiutP,https://api.spotify.com/v1/tracks/5FuQ1wUveHPYAxHmqAiutP,https://api.spotify.com/v1/audio-analysis/5FuQ1wUveHPYAxHmqAiutP,56120.0,4.0,,5FuQ1wUveHPYAxHmqAiutP,Bermuda: Hail to Bermuda (short version),Bermuda,bermuda,,,,,,,Bermuda,BM,BMU,North_America,"Hail to Bermuda, My island in the sun. Sing out in glory To the nation we've become. We've grown from heart to heart, And strength to strength, The privilege is mine To sing long live Bermuda, Because this island's mine! Hail to Bermuda, My homeland dear to me. This is my own land Built on faith And unity. We've grown from heart to heart And strength to strength, For Loyalty is Prime So sing long live Bermuda, Because this island's mine!",bermuda,absent,0.5925925925925926,0.0,0.037037037037037035,0.4074074074074074
23,bhutan,0.186,0.186,10.0,-15.991,1.0,0.0391,0.263,0.929,0.13,0.412,87.806,audio_features,6n28Uuqq0oP4Dv4ekTXcBI,spotify:track:6n28Uuqq0oP4Dv4ekTXcBI,https://api.spotify.com/v1/tracks/6n28Uuqq0oP4Dv4ekTXcBI,https://api.spotify.com/v1/audio-analysis/6n28Uuqq0oP4Dv4ekTXcBI,59000.0,4.0,,6n28Uuqq0oP4Dv4ekTXcBI,"Bhutan: Druk tsendhen (The Thunder Dragon), ""In the Thunder Dragon Kingdom…"" [2005 arrangement]",Bhutan,bhutan,#FFD520,#FF4E12,#F3F3F3,#D4B8AD,#E6734C,#E5CC5D,Bhutan,BT,BTN,Asia,"In the Kingdom of Bhutan adorned with cypress trees, The Protector who reigns over the realm of spiritual and secular traditions, He is the King of Bhutan, the precious sovereign. May His being remain unchanging, and the Kingdom prosper, May the teachings of the Enlightened One flourish, May the sun of peace and happiness shine over all people.",bhutan,absent,0.7250000000000001,0.0,0.025,0.5
24,bolivia,0.584,0.201,0.0,-17.486,1.0,0.0435,0.925,0.957,0.34,0.605,119.722,audio_features,22wshf60YN1Lg1ClrN93tr,spotify:track:22wshf60YN1Lg1ClrN93tr,https://api.spotify.com/v1/tracks/22wshf60YN1Lg1ClrN93tr,https://api.spotify.com/v1/audio-analysis/22wshf60YN1Lg1ClrN93tr,87800.0,4.0,,22wshf60YN1Lg1ClrN93tr,"Bolivia: Canción Patriótica (Patriotic Song), ""Bolivians, a favourable destiny…""",Bolivia,bolivia,#D52B1E,#007934,#FFE000,#F0A40A,#ABBE11,#A46021,Bolivia,BO,BOL,South_America,"Bolivians: favourable destiny Crowned our votes and desires It is now free, this land is now free And now its servile condition has ended From the military uproar that was yesterday And from the cry of the terrible war Today follow, in peaceful contrast Sweet hymns of peace and union Today follow, in peaceful contrast Sweet hymns of peace and union   Of the homeland, the lofty name In glorious splendour may we keep [it] And in its honour let's swear once again: To die before living as slaves! To die before living as slaves! To die before living as slaves!   Eternal praise to the brave warriors Whose heroic courage and determination Won the glories that today Bolivia happily begins to enjoy May their names, in marble and bronze, Be transmitted to future ages And in resounding song repeat: Freedom, freedom, freedom! And in resounding song repeat: Freedom, freedom, freedom!   Of the homeland, the lofty name In glorious splendour may we keep [it] And in its honour let's swear once again: To die before living as slaves! To die before living as slaves! To die before living as slaves! Here justice set up its throne That does not recognise vile oppression And in its glorious stamp let us rejoice Freedom, freedom, freedom This innocent and beautiful land That has its name because of Bolívar 1 It is the happy homeland where man Enjoys good fortune and peace It is the happy homeland where man Enjoys good fortune and peace   Of the homeland, the lofty name In glorious splendour may we keep [it] And in its honour let's swear once again: To die before living as slaves! To die before living as slaves! To die before living as slaves!   If a foreign power one day Tries to subjugate Bolivia Let it be prepared for the fatal destiny That threatens the arrogant invader Let the sons of the great Bolívar Have sworn a thousand times over: To die before seeing the majestic banner Of the homeland lowered To die before seeing the majestic banner Of the homeland lowered   Of the homeland, the lofty name In glorious splendour may we keep [it] And in its honour let's swear once again: To die before living as slaves! To die before living as slaves! To die before living as slaves!",bolivia,absent,0.4651162790697675,0.011627906976744186,0.03488372093023256,0.22093023255813954
25,bosnia and herzegovina,0.201,0.438,0.0,-13.27,1.0,0.0351,0.909,0.88,0.261,0.266,99.352,audio_features,1zD33DhCqOj3qQHvFiFqYF,spotify:track:1zD33DhCqOj3qQHvFiFqYF,https://api.spotify.com/v1/tracks/1zD33DhCqOj3qQHvFiFqYF,https://api.spotify.com/v1/audio-analysis/1zD33DhCqOj3qQHvFiFqYF,80653.0,4.0,,1zD33DhCqOj3qQHvFiFqYF,Bosnia and Herzegovina: Državna himna Bosne i Hercegovine (The National Anthem of Bosnia and Herzegovina) [1999 onwards] [Olympic version],Bosnia and Herzegovina,bosnia and herzegovina,#002395,#FECB00,#FDFDFE,#97A6D4,#7F774A,#6177BD,Bosnia and Herzegovina,BA,BIH,Europe,"You're the light of the soul Eternal fire's flame Mother of ours, o land of Bosnia I belong to you The beautiful blue sky Of Herzegovina In the heart are your rivers Your mountains Proud and famous Land of ancestors You shall live in our hearts Ever more Generations of yours Show up as one We go into the future Together!",bosnia and herzegovina,absent,0.28409090909090906,0.13636363636363635,0.07954545454545456,0.1590909090909091
26,botswana,0.502,0.221,0.0,-16.798,1.0,0.0265,0.592,0.922,0.0806,0.756,51.679,audio_features,7bc84oCI9dwdNb9zMAx1Lk,spotify:track:7bc84oCI9dwdNb9zMAx1Lk,https://api.spotify.com/v1/tracks/7bc84oCI9dwdNb9zMAx1Lk,https://api.spotify.com/v1/audio-analysis/7bc84oCI9dwdNb9zMAx1Lk,84520.0,4.0,,7bc84oCI9dwdNb9zMAx1Lk,"Botswana: ""Blessed be this noble land…""",Botswana,botswana,#75AADB,#000000,#FFFFFF,#AAAAAA,#BAD5ED,,Botswana,BW,BWA,Africa,"Blessed be this noble land, Gift to us from God's strong hand, Heritage our fathers left to us, May it always be at peace. Awake, awake, O men, awake! And women close beside them stand, Together we'll work and serve This land, this happy land! Word of beauty and of fame, The name Botswana to us came. Through our unity and harmony, We'll remain at peace as one. ",botswana,present,0.7272727272727273,0.0,0.0,0.36363636363636365
27,brazil,0.473,0.14,10.0,-18.378,1.0,0.0388,0.819,0.227,0.359,0.523,122.838,audio_features,5yyBDd13Zb7eoVT86NPhO2,spotify:track:5yyBDd13Zb7eoVT86NPhO2,https://api.spotify.com/v1/tracks/5yyBDd13Zb7eoVT86NPhO2,https://api.spotify.com/v1/audio-analysis/5yyBDd13Zb7eoVT86NPhO2,85027.0,4.0,,5yyBDd13Zb7eoVT86NPhO2,"Brazil: Hino Nacional Brasilerio (National Anthem of Brazil), ""There was heard…"" [Olympic version]",Brazil,brazil,#009B3A,#FDDF00,#012876,#61B125,#304F90,#6FC790,Brazil,BR,BRA,South_America,"The placid shores of the Ipiranga heard the resounding shout of a heroic folk And the sun of Liberty in shining beams shone in the homeland's sky at that instant If the pledge of this equality we managed to conquer with strong arm In thy bosom, O Freedom, our chest defies death itself! O beloved, idolized homeland, Hail, hail! Brazil, an intense dream, a vivid ray of love and hope descends to earth If in thy beautiful, smiling and limpid sky the image of the (Southern) Cross blazes. Giant by thine own nature Thou art beautiful, strong, a fearless colossus And thy future mirrors that greatness Adored Land Amongst thousand others art thou, Brazil, O beloved homeland Of the sons of this ground Thou art kind mother Beloved homeland, Brazil Eternally lying on splendid cradle to the sound of sea and under deep sky light Thou flashest, Brazil, crocket of America, illuminated by the sun of New World Than the more garish land, thy smiling, pretty prairies have more flowers ""Our groves have more life"" ""Our life"" in thy bosom ""more loves"" O beloved, idolized homeland, hail, hail! Brazil, of eternal love be a symbol the starred labarum which thou displayst And say the laurel-green of this pennant ""Peace in the future and glory in the past"" But if thou raisest the strong mace of justice, see that a son of thine flees not from battle, nor do those who love thee fear their own death Adored Land Amongst thousand others art thou, Brazil, O beloved homeland Of the sons of this ground thou art kind mother Beloved homeland, Brazil",brazil,absent,0.6000000000000001,0.0,0.0,0.6
