,key_0,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error,track_id,track_name,country_x,country_y,c1,c2,c3,c4,c5,c6,Country,Alpha-2,Alpha-3,Continent,Anthem,country_lower,god
20,belize,0.324,0.178,5.0,-17.776,1.0,0.0357,0.919,0.923,0.0558,0.308,87.987,audio_features,2KuAxqFIaj3IUCapI3ZVwe,spotify:track:2KuAxqFIaj3IUCapI3ZVwe,https://api.spotify.com/v1/tracks/2KuAxqFIaj3IUCapI3ZVwe,https://api.spotify.com/v1/audio-analysis/2KuAxqFIaj3IUCapI3ZVwe,68000.0,4.0,,2KuAxqFIaj3IUCapI3ZVwe,"Belize: Land of the Free, ""O Land of the Free by the Carib Sea…"" (Olympic version)",Belize,belize,#003F87,#CE1126,#D5DBD6,#2A9104,#63A55C,#D0AF4C,Belize,BZ,BLZ,North_America,"O, Land of the Free by the Carib Sea, Our manhood we pledge to thy liberty! No tyrants here linger, despots must flee This tranquil haven of democracy The blood of our sires which hallows the sod, Brought freedom from slavery, oppression's rod By the might of truth, and the grace of God, No longer shall we be hewers of wood. Arise! ye sons of the Baymen's clan, Put on your armour, clear the land! Drive back the tyrants, let despots flee - Land of the Free by the Carib Sea! Nature has blessed thee with wealth untold, O'er mountains and valleys where prairies roll; Our fathers, the Baymen, valiant and bold Drove back the invader; this heritage hold From proud Rio Hondo to old Sarstoon, Through coral isle, over blue lagoon; Keep watch with the angels, the stars and moon; For freedom comes tomorrow's noon.",belize,present
26,botswana,0.502,0.221,0.0,-16.798,1.0,0.0265,0.592,0.922,0.0806,0.756,51.679,audio_features,7bc84oCI9dwdNb9zMAx1Lk,spotify:track:7bc84oCI9dwdNb9zMAx1Lk,https://api.spotify.com/v1/tracks/7bc84oCI9dwdNb9zMAx1Lk,https://api.spotify.com/v1/audio-analysis/7bc84oCI9dwdNb9zMAx1Lk,84520.0,4.0,,7bc84oCI9dwdNb9zMAx1Lk,"Botswana: ""Blessed be this noble land…""",Botswana,botswana,#75AADB,#000000,#FFFFFF,#AAAAAA,#BAD5ED,,Botswana,BW,BWA,Africa,"Blessed be this noble land, Gift to us from God's strong hand, Heritage our fathers left to us, May it always be at peace. Awake, awake, O men, awake! And women close beside them stand, Together we'll work and serve This land, this happy land! Word of beauty and of fame, The name Botswana to us came. Through our unity and harmony, We'll remain at peace as one. ",botswana,present
28,brunei,0.234,0.178,5.0,-15.813,1.0,0.0321,0.849,0.906,0.2,0.226,92.024,audio_features,5hF1YJIt7VrpAvSifRpMyp,spotify:track:5hF1YJIt7VrpAvSifRpMyp,https://api.spotify.com/v1/tracks/5hF1YJIt7VrpAvSifRpMyp,https://api.spotify.com/v1/audio-analysis/5hF1YJIt7VrpAvSifRpMyp,90520.0,3.0,,5hF1YJIt7VrpAvSifRpMyp,"Brunei: Allah Peliharakan Sultan, ""Oh God, long live our Majesty the Sultan""",Brunei,brunei,#F7E017,#FFFFFF,#010000,#CF1226,#E2751F,#DE5A68,Brunei,BN,BRN,Asia,"O Divine One, a long life consign Upon His Majesty our King, fine Help him rule thy dominion wise The gates to eternal joy he shall prise Serene be both country and sultan God save our land Brunei Darussalam",brunei,present
31,burundi,0.448,0.102,5.0,-18.434,0.0,0.0325,0.943,0.892,0.0936,0.352,128.002,audio_features,3O5gzg9Yo02Qwgt4aaQ8QC,spotify:track:3O5gzg9Yo02Qwgt4aaQ8QC,https://api.spotify.com/v1/tracks/3O5gzg9Yo02Qwgt4aaQ8QC,https://api.spotify.com/v1/audio-analysis/3O5gzg9Yo02Qwgt4aaQ8QC,143693.0,4.0,,3O5gzg9Yo02Qwgt4aaQ8QC,"Burundi: ""Beloved Burundi, gentle country…""",Burundi,burundi,#1EB53A,#FFFFFF,#CE1126,#D8EEDA,#5CC870,#DD5867,Burundi,BI,BDI,Africa,"Our Burundi, gentle country, Take your place in the concert of nations, Acceding to independence with honourable intentions. Wounded and bruised, you have remained master of yourself. When the hour came, you arose, Lifting yourself proudly into the ranks of free peoples. Receive, then, the congratulations of the nations And the homage of your sons and daughters. May your name ring out through the universe. Our Burundi, sacred heritage from our forefathers, Recognized as worthy of self-government, With your courage you also have a sense of honour. Sing the glory of liberty conquered again. Our Burundi, worthy of our tenderest love, We vow to your noble service our hands and hearts and lives. May God, who gave you to us, keep you for us to venerate, Under the shield of unity, In peace, joy and prosperity.",burundi,present
32,cambodia,0.189,0.123,5.0,-16.259,1.0,0.032,0.874,0.912,0.109,0.347,99.25,audio_features,670dxFo13rtkt0RvOyP1qy,spotify:track:670dxFo13rtkt0RvOyP1qy,https://api.spotify.com/v1/tracks/670dxFo13rtkt0RvOyP1qy,https://api.spotify.com/v1/audio-analysis/670dxFo13rtkt0RvOyP1qy,127800.0,4.0,,670dxFo13rtkt0RvOyP1qy,"Cambodia: Nokoreach (National Anthem), ""Heaven protects our King…""",Cambodia,cambodia,#032EA1,#E00025,#A49FA0,#767273,#A05964,#752A37,Cambodia,KH,KHM,Asia,"Heaven protects our King And gives him happiness and glory To reign over our souls and our destinies, The one being, heir of the Sovereign builders, Guiding the proud old Kingdom. Temples are asleep in the forest, Remembering the splendour of Moha Nokor. Like a rock the Khamer race is eternal. Let us trust in the fate of Campuchea, The empire which challenges the ages. Songs rise up from the pagodas To the glory of holy buddhistic faith. Let us be faithful to our ancestors' belief. Thus heaven will lavish its bounty Towards the ancient Khmer country, the Moha Nokor. ",cambodia,present
34,canada,0.174,0.0813,3.0,-18.202,1.0,0.0371,0.896,0.931,0.168,0.0411,119.075,audio_features,0g8VSwMjVHjA5BZHZfrGUI,spotify:track:0g8VSwMjVHjA5BZHZfrGUI,https://api.spotify.com/v1/tracks/0g8VSwMjVHjA5BZHZfrGUI,https://api.spotify.com/v1/audio-analysis/0g8VSwMjVHjA5BZHZfrGUI,107200.0,3.0,,0g8VSwMjVHjA5BZHZfrGUI,"Canada: ""O Canada! Our home and native land!…"" (slow version)",Canada,canada,#FF0000,#FFFFFF,#FFD0D0,#FF9191,#FF2C2C,#FF5050,Canada,CA,CAN,North_America,"O Canada! Our home and native land! True patriot love thou dost in us command. We see thee rising fair, dear land, The True North, strong and free; And stand on guard, O Canada, We stand on guard for thee. O Canada! O Canada! O Canada! We stand on guard for thee, O Canada! We stand on guard for thee. O Canada! Where pines and maples grow, Great prairies spread and lordly rivers flow, How dear to us thy broad domain, From East to Western sea! Thou land of hope for all who toil! Thou True North, strong and free! O Canada! O Canada! O Canada! We stand on guard for thee, O Canada! We stand on guard for thee. O Canada! Beneath thy shining skies May stalwart sons and gentle maidens rise, To keep thee steadfast through the years From East to Western sea, Our own beloved native land, Our True North, strong and free! O Canada! O Canada! O Canada! We stand on guard for thee, O Canada! We stand on guard for thee. Ruler Supreme, Who hearest humble prayer, Hold our dominion within Thy loving care. Help us to find, O God, in Thee A lasting, rich reward, As waiting for the Better Day, We ever stand on guard. O Canada! O Canada! O Canada! We stand on guard for thee, O Canada! We stand on guard for thee.",canada,present
38,chad,0.633,0.187,10.0,-17.917,1.0,0.0456,0.896,0.911,0.172,0.479,108.321,audio_features,59HrvgIEwqqPy5YJ2hACWK,spotify:track:59HrvgIEwqqPy5YJ2hACWK,https://api.spotify.com/v1/tracks/59HrvgIEwqqPy5YJ2hACWK,https://api.spotify.com/v1/audio-analysis/59HrvgIEwqqPy5YJ2hACWK,79853.0,4.0,,59HrvgIEwqqPy5YJ2hACWK,"Chad: La Tchadienne (The Song of Chad), ""Oh, my Country, may God protect you…""",Chad,chad,#FECB00,#002664,#C60C30,,,,Chad,TD,TCD,Africa,"People of Chad, arise and to work! You have conquered the soil and won your rights; Your freedom will be born of your courage. Lift up your eyes, the future is yours. O my Country, may God protect you, May your neighbors admire your children. Joyful, peaceful, advance as you sing, Faithful to your fathers who are watching you. People of Chad, arise and to work! You have conquered the soil and won your rights; Your freedom will be born of your courage. Lift up your eyes, the future is yours.",chad,present
62,estonia,0.373,0.0424,0.0,-19.627,1.0,0.0475,0.937,0.847,0.0584,0.386,87.174,audio_features,2odDshmc0MMPdEKohU3YX7,spotify:track:2odDshmc0MMPdEKohU3YX7,https://api.spotify.com/v1/tracks/2odDshmc0MMPdEKohU3YX7,https://api.spotify.com/v1/audio-analysis/2odDshmc0MMPdEKohU3YX7,67840.0,3.0,,2odDshmc0MMPdEKohU3YX7,"Estonia: ""My native land, my joy, delight…""",Estonia,estonia,#FFFFFF,#4891D9,#000000,#545454,#183048,,Estonia,EE,EST,Europe,"My fatherland, my joy and happiness, How beautiful you are! I shall not find such ever In this huge wide world Which would be so dear to me As you, my fatherland! You have given me birth And raised me up; I shall thank you always And remain faithful to you until death, To me most beloved are you, My precious fatherland! May God watch over you, My precious fatherland! Let Him be your defender And provide bountiful blessings For whatever you undertake, My precious fatherland!",estonia,present
65,fiji,0.294,0.192,10.0,-13.769,1.0,0.0307,0.918,0.855,0.103,0.42,101.824,audio_features,3h5iUCG7xK78XOM5uY9Mr6,spotify:track:3h5iUCG7xK78XOM5uY9Mr6,https://api.spotify.com/v1/tracks/3h5iUCG7xK78XOM5uY9Mr6,https://api.spotify.com/v1/audio-analysis/3h5iUCG7xK78XOM5uY9Mr6,86107.0,4.0,,3h5iUCG7xK78XOM5uY9Mr6,"Fiji: Meda Dau Doka (God Bless Fiji), ""Blessing grant, Oh God of nations…""",Fiji,fiji,#68BFE5,#CF1129,#FEFEFE,#DFD1D5,#4E6D94,#B4962A,Fiji,FJ,FJI,Oceania,"Blessing grant oh God of nations on the isles of Fiji As we stand united under noble banner blue And we honour and defend the cause of freedom ever Onward march together God bless Fiji For Fiji, ever Fiji, let our voices ring with pride For Fiji, ever Fiji, her name hails far and wide, A land of freedom, hope and glory, to endure what ever befalls May God bless Fiji Forever more! Blessing grant, oh God of nations, on the isles of Fiji Shores of golden sand and sunshine, happiness and song Stand united, we of Fiji, fame and glory ever Onward march together God bless Fiji.",fiji,present
67,france,0.368,0.0811,7.0,-17.203,1.0,0.0329,0.948,0.882,0.0685,0.424,108.725,audio_features,25sPt9bcAZMFk83ZbeJgua,spotify:track:25sPt9bcAZMFk83ZbeJgua,https://api.spotify.com/v1/tracks/25sPt9bcAZMFk83ZbeJgua,https://api.spotify.com/v1/audio-analysis/25sPt9bcAZMFk83ZbeJgua,67067.0,4.0,,25sPt9bcAZMFk83ZbeJgua,"France: La Marseillaise (The March of Marseille), ""Arise, children of the fatherland…"" [arr. P. Breiner]",France,france,#FFFFFF,#002395,#ED2939,,,,France,FR,FRA,Europe,"Arise, children of the Fatherland, The day of glory has arrived! Against us, tyranny's Bloody standard is raised, Do you hear, in the countryside, The roar of those ferocious soldiers? They're coming right into your arms To cut the throats of your sons, your women! To arms, citizens, Form your battalions, Let's march, let's march! Let an impure blood Water our furrows! What does this horde of slaves, Of traitors and conspiring kings want? For whom have these vile chains, These irons, been long prepared? Frenchmen, for us, ah! What outrage What furious action it must arouse! It is to us they dare plan A return to the old slavery! To arms, citizens ... What! Foreign cohorts Would make the law in our homes! What! These mercenary phalanxes Would strike down our proud warriors! Great God! By chained hands Our brows would yield under the yoke! Vile despots would themselves become The masters of our destinies! To arms, citizens ... Tremble, tyrants and you traitors The shame of all parties, Tremble! Your parricidal schemes Will finally receive their prize! Everyone is a soldier to combat you, If they fall, our young heroes, Will be produced anew from the ground, Ready to fight against you! To arms, citizens ... Frenchmen, as magnanimous warriors, Bear or hold back your blows! Spare those sorry victims, For regretfully arming against us. But these bloodthirsty despots, These accomplices of BouillÃƒÂ©, All these tigers who mercilessly Tear apart their mother's breast! To arms, citizens ... Sacred love of the Fatherland, Lead, support our avenging arms Liberty, cherished Liberty, Fight with thy defenders! Under our flags may victory Hurry to thy manly accents, So that thy expiring enemies See thy triumph and our glory! To arms, citizens ... We shall enter the military career When our elders are no longer there, There we shall find their dust And the trace of their virtues Much less keen to survive them Than to share their coffins, We shall have the sublime pride To avenge or follow them. To arms, citizens ... ",france,present
