"Country","positivity","anger","sad","joy"
"Angola",0.533333333333333,0,0,0.333333333333333
"Belgium",0.521739130434783,0,0.0434782608695652,0.304347826086957
"Belize",0.5,0.0384615384615385,0.0769230769230769,0.153846153846154
"Benin",0.636363636363636,0.0454545454545454,0.0454545454545454,0.454545454545455
"Bermuda",0.592592592592593,0,0.037037037037037,0.407407407407407
"Bhutan",0.725,0,0.025,0.5
"Bolivia",0.465116279069767,0.0116279069767442,0.0348837209302326,0.22093023255814
"Bosnia and Herzegovina",0.284090909090909,0.136363636363636,0.0795454545454546,0.159090909090909
"Botswana",0.727272727272727,0,0,0.363636363636364
"Brazil",0.6,0,0,0.6
"Brunei",0.404761904761905,0.0476190476190476,0,0.214285714285714
"Bulgaria",0.488372093023256,0.0232558139534884,0.0465116279069767,0.232558139534884
"Burkina Faso",0.555555555555556,0,0,0.222222222222222
"Burundi",0.25,0,0,0.1875
"Cambodia",0.684210526315789,0,0,0.421052631578947
"Cameroon",0.31,0.13,0.08,0.16
"Canada",0.433333333333333,0,0.0666666666666667,0.266666666666667
"Cape Verde",0.5625,0.09375,0.09375,0.28125
"Central African Republic",0.303571428571429,0.0357142857142857,0.0357142857142857,0.142857142857143
"Chad",0.293650793650794,0.0793650793650794,0.126984126984127,0.150793650793651
"Eritrea",0.447368421052632,0.131578947368421,0.157894736842105,0.31578947368421
"Estonia",0.428571428571429,0,0,0.142857142857143
"Ethiopia",0.5,0.0416666666666667,0.0416666666666667,0.166666666666667
"Fiji",0.294117647058824,0.176470588235294,0,0
"Finland",0.523809523809524,0,0.0476190476190476,0.285714285714286
"France",0.564102564102564,0.0769230769230769,0.0512820512820513,0.256410256410256
"Gambia",0.695652173913043,0.0217391304347826,0.0217391304347826,0.565217391304348
"Georgia",0.555555555555555,0.0416666666666667,0.0138888888888889,0.222222222222222
"Germany",0.545454545454545,0,0.0454545454545454,0.227272727272727
"Ghana",0.595238095238095,0.0238095238095238,0.0238095238095238,0.404761904761905
"Greece",0.4,0,0,0.228571428571429
"Greenland",0.458333333333333,0.125,0.208333333333333,0.333333333333333
"Grenada",0.3,0,0,0.133333333333333
"Guatemala",0.448275862068966,0,0,0.206896551724138
"Guinea",0.631578947368421,0.0526315789473684,0,0.368421052631579
"Guinea-Bissau",0.368421052631579,0,0,0.105263157894737
"Guyana",0.595505617977528,0.0561797752808989,0.0224719101123595,0.247191011235955
"Haiti",0.529411764705882,0.0588235294117647,0,0.117647058823529
"Honduras",0.365853658536585,0.0731707317073171,0.0731707317073171,0.0975609756097561
"Hungary",0.5625,0.03125,0,0.3125
