,key_0,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error,track_id,track_name,country
0,4FfTEj2bSFa2ptNoxbkOnP,0.385,0.331,3.0,-13.635,1.0,0.033,0.798,0.982,0.12,0.609,125.866,audio_features,4FfTEj2bSFa2ptNoxbkOnP,spotify:track:4FfTEj2bSFa2ptNoxbkOnP,https://api.spotify.com/v1/tracks/4FfTEj2bSFa2ptNoxbkOnP,https://api.spotify.com/v1/audio-analysis/4FfTEj2bSFa2ptNoxbkOnP,97160.0,4.0,,4FfTEj2bSFa2ptNoxbkOnP,"Afghanistan [Milli Surood (National Anthem), ""This land is Afghanistan…""] (2006 onwards)",Afghanistan 
1,0J7T6WhEvtTTqvx4RRjpbq,0.42,0.124,7.0,-18.274,1.0,0.0453,0.969,0.937,0.0772,0.307,98.616,audio_features,0J7T6WhEvtTTqvx4RRjpbq,spotify:track:0J7T6WhEvtTTqvx4RRjpbq,https://api.spotify.com/v1/tracks/0J7T6WhEvtTTqvx4RRjpbq,https://api.spotify.com/v1/audio-analysis/0J7T6WhEvtTTqvx4RRjpbq,69653.0,3.0,,0J7T6WhEvtTTqvx4RRjpbq,"Albania [Hymni i Flamurit (Hymn To The Flag), ""The flag which in battle unites us…""]",Albania 
2,05kY0EH7nF6Esa4yn0Mjsn,0.459,0.615,5.0,-13.714,1.0,0.0529,0.859,0.938,0.207,0.43,127.956,audio_features,05kY0EH7nF6Esa4yn0Mjsn,spotify:track:05kY0EH7nF6Esa4yn0Mjsn,https://api.spotify.com/v1/tracks/05kY0EH7nF6Esa4yn0Mjsn,https://api.spotify.com/v1/audio-analysis/05kY0EH7nF6Esa4yn0Mjsn,67733.0,4.0,,05kY0EH7nF6Esa4yn0Mjsn,"Algeria [""We swear by the lightning that destroys…""] (Olympic version)",Algeria 
3,2hSwZOmc50GYJeOXe4C7vH,0.251,0.305,10.0,-15.653,1.0,0.041,0.903,0.976,0.0871,0.735,81.431,audio_features,2hSwZOmc50GYJeOXe4C7vH,spotify:track:2hSwZOmc50GYJeOXe4C7vH,https://api.spotify.com/v1/tracks/2hSwZOmc50GYJeOXe4C7vH,https://api.spotify.com/v1/audio-analysis/2hSwZOmc50GYJeOXe4C7vH,62800.0,4.0,,2hSwZOmc50GYJeOXe4C7vH,"American Samoa [""America Samoa, my dear beloved land…""] (Olympic version)",American Samoa 
4,74NggutKEKI9FIMonXgRMi,0.537,0.214,2.0,-17.316,1.0,0.0392,0.841,0.889,0.101,0.67,102.544,audio_features,74NggutKEKI9FIMonXgRMi,spotify:track:74NggutKEKI9FIMonXgRMi,https://api.spotify.com/v1/tracks/74NggutKEKI9FIMonXgRMi,https://api.spotify.com/v1/audio-analysis/74NggutKEKI9FIMonXgRMi,70440.0,4.0,,74NggutKEKI9FIMonXgRMi,"Andorra [Himne Andorra (Andorra Hymn), ""The great Charlemagne, my Father…""] (Olympic version)",Andorra 
5,7hrCjUIObTQcDhUe4GzkCI,0.644,0.224,0.0,-18.446,1.0,0.0321,0.89,0.959,0.0877,0.571,110.727,audio_features,7hrCjUIObTQcDhUe4GzkCI,spotify:track:7hrCjUIObTQcDhUe4GzkCI,https://api.spotify.com/v1/tracks/7hrCjUIObTQcDhUe4GzkCI,https://api.spotify.com/v1/audio-analysis/7hrCjUIObTQcDhUe4GzkCI,77827.0,4.0,,7hrCjUIObTQcDhUe4GzkCI,"Angola: Angola [""O Fatherland, we shall never forget the heroes of the Fourth of February…""]",Angola
6,3nLWkTgKFm9GPMlrPo4i2u,0.369,0.423,10.0,-15.379,1.0,0.0339,0.41,0.882,0.303,0.662,110.314,audio_features,3nLWkTgKFm9GPMlrPo4i2u,spotify:track:3nLWkTgKFm9GPMlrPo4i2u,https://api.spotify.com/v1/tracks/3nLWkTgKFm9GPMlrPo4i2u,https://api.spotify.com/v1/audio-analysis/3nLWkTgKFm9GPMlrPo4i2u,78800.0,4.0,,3nLWkTgKFm9GPMlrPo4i2u,"Anguilla [National Song, ""God bless Anguilla nurture…""]",Anguilla 
7,2NRcoBALzgXdKm8OeBzJtV,0.271,0.259,5.0,-15.77,1.0,0.038,0.708,0.959,0.223,0.41,115.315,audio_features,2NRcoBALzgXdKm8OeBzJtV,spotify:track:2NRcoBALzgXdKm8OeBzJtV,https://api.spotify.com/v1/tracks/2NRcoBALzgXdKm8OeBzJtV,https://api.spotify.com/v1/audio-analysis/2NRcoBALzgXdKm8OeBzJtV,76787.0,4.0,,2NRcoBALzgXdKm8OeBzJtV,"Antigua and Barbuda [""Fair Antigua, we salute thee!…""]",Antigua and Barbuda 
8,6K9FFoSz2uDkQnkXQ4szfv,0.403,0.15,10.0,-14.003,1.0,0.0359,0.905,0.862,0.343,0.567,120.37,audio_features,6K9FFoSz2uDkQnkXQ4szfv,spotify:track:6K9FFoSz2uDkQnkXQ4szfv,https://api.spotify.com/v1/tracks/6K9FFoSz2uDkQnkXQ4szfv,https://api.spotify.com/v1/audio-analysis/6K9FFoSz2uDkQnkXQ4szfv,93107.0,4.0,,6K9FFoSz2uDkQnkXQ4szfv,"Argentina [Himno Nacional Argentino (Argentine National Anthem), ""Mortals! Hear the sacred cry…""] (short)",Argentina 
9,3or8Jw8XkNH2w8lYXAh1ja,0.262,0.38,3.0,-12.467,1.0,0.0389,0.582,0.898,0.122,0.795,135.881,audio_features,3or8Jw8XkNH2w8lYXAh1ja,spotify:track:3or8Jw8XkNH2w8lYXAh1ja,https://api.spotify.com/v1/tracks/3or8Jw8XkNH2w8lYXAh1ja,https://api.spotify.com/v1/audio-analysis/3or8Jw8XkNH2w8lYXAh1ja,63947.0,5.0,,3or8Jw8XkNH2w8lYXAh1ja,"Armenia [Mer Hayrenik (Our Fatherland), ""Land of our fathers, free, independent…""]",Armenia 
10,0farPXqbJfuxTro1b6KwSw,0.151,0.268,7.0,-15.159,1.0,0.0424,0.569,0.762,0.176,0.437,174.862,audio_features,0farPXqbJfuxTro1b6KwSw,spotify:track:0farPXqbJfuxTro1b6KwSw,https://api.spotify.com/v1/tracks/0farPXqbJfuxTro1b6KwSw,https://api.spotify.com/v1/audio-analysis/0farPXqbJfuxTro1b6KwSw,57227.0,4.0,,0farPXqbJfuxTro1b6KwSw,"Aruba: Aruba [Aruba Deshi Tera (Aruba Precious Country), ""Aruba, beloved home…""]",Aruba
11,5M0N4aUXuQlwahnS023mjH,0.273,0.0577,0.0,-19.599,1.0,0.0393,0.913,0.901,0.313,0.221,87.612,audio_features,5M0N4aUXuQlwahnS023mjH,spotify:track:5M0N4aUXuQlwahnS023mjH,https://api.spotify.com/v1/tracks/5M0N4aUXuQlwahnS023mjH,https://api.spotify.com/v1/audio-analysis/5M0N4aUXuQlwahnS023mjH,65080.0,4.0,,5M0N4aUXuQlwahnS023mjH,"Australia [Advance Australia Fair, ""Australians all, let us rejoice…""] (Olympic version)",Australia 
12,4a8ZCCtNgsIf6pxP8bBEud,0.0744,0.0604,5.0,-22.953,1.0,0.0431,0.924,0.806,0.13,0.153,177.932,audio_features,4a8ZCCtNgsIf6pxP8bBEud,spotify:track:4a8ZCCtNgsIf6pxP8bBEud,https://api.spotify.com/v1/tracks/4a8ZCCtNgsIf6pxP8bBEud,https://api.spotify.com/v1/audio-analysis/4a8ZCCtNgsIf6pxP8bBEud,95227.0,3.0,,4a8ZCCtNgsIf6pxP8bBEud,"Austria [Osterreichische Bundeshymne (Austrian Federal Hymn), ""Land of mountains…""]",Austria 
13,2azoVJV8kfMJrHGKrQbLC1,0.378,0.0719,2.0,-19.837,0.0,0.0352,0.902,0.906,0.091,0.125,119.45,audio_features,2azoVJV8kfMJrHGKrQbLC1,spotify:track:2azoVJV8kfMJrHGKrQbLC1,https://api.spotify.com/v1/tracks/2azoVJV8kfMJrHGKrQbLC1,https://api.spotify.com/v1/audio-analysis/2azoVJV8kfMJrHGKrQbLC1,150013.0,4.0,,2azoVJV8kfMJrHGKrQbLC1,"Azerbaijan [Azerbaijan Marzi (Azerbaijan March), ""Azerbaijan! Azerbaijan!…""]",Azerbaijan 
14,4pfiGPd2P0DgOguv7ZFx24,0.231,0.0741,2.0,-18.902,1.0,0.034,0.96,0.867,0.0858,0.283,79.927,audio_features,4pfiGPd2P0DgOguv7ZFx24,spotify:track:4pfiGPd2P0DgOguv7ZFx24,https://api.spotify.com/v1/tracks/4pfiGPd2P0DgOguv7ZFx24,https://api.spotify.com/v1/audio-analysis/4pfiGPd2P0DgOguv7ZFx24,106760.0,4.0,,4pfiGPd2P0DgOguv7ZFx24,"Bahamas [March On, Bahamaland, ""Lift up your head to the rising sun…""]",Bahamas 
15,1idlLu9FqlFd7PeYmkNIpU,0.361,0.218,5.0,-16.25,1.0,0.0397,0.857,0.945,0.102,0.558,103.369,audio_features,1idlLu9FqlFd7PeYmkNIpU,spotify:track:1idlLu9FqlFd7PeYmkNIpU,https://api.spotify.com/v1/tracks/1idlLu9FqlFd7PeYmkNIpU,https://api.spotify.com/v1/audio-analysis/1idlLu9FqlFd7PeYmkNIpU,52280.0,4.0,,1idlLu9FqlFd7PeYmkNIpU,"Bahrain [""Our Bahrain, country of security…""]",Bahrain 
