,word,frequency,word_length
1,africa,17,6
3,always,35,6
10,beautiful,21,9
12,beloved,23,7
13,bless,29,5
14,blood,38,5
15,blue,18,4
16,brave,19,5
19,call,19,4
20,canada,19,6
21,children,22,8
22,country,53,7
23,day,19,3
24,dear,22,4
25,defend,20,6
26,die,31,3
27,eternal,18,7
28,ever,37,4
29,every,39,5
30,fatherland,21,10
31,flag,39,4
33,forever,18,7
34,free,74,4
35,freedom,47,7
37,fulfill,16,7
38,give,20,4
39,glorious,34,8
40,glory,77,5
41,god,113,3
42,good,25,4
43,great,54,5
44,hand,16,4
45,happiness,22,9
48,heart,27,5
49,hearts,24,6
51,high,17,4
53,home,21,4
54,homeland,73,8
55,honour,17,6
56,hope,20,4
58,if,38,2
63,joy,17,3
64,keep,15,4
65,land,194,4
67,light,26,5
69,live,49,4
70,living,16,6
71,long,56,4
72,love,59,4
73,make,20,4
74,man,17,3
76,more,20,4
78,name,32,4
79,nation,59,6
80,never,18,5
81,new,21,3
82,no,28,2
83,noble,22,5
84,not,59,3
86,o,84,1
88,oh,31,2
93,out,22,3
95,own,20,3
96,peace,51,5
97,people,80,6
98,place,15,5
99,protect,19,7
100,proud,20,5
101,sacred,19,6
102,sea,19,3
103,see,18,3
106,sing,16,4
107,sky,19,3
109,soil,19,4
110,song,17,4
111,sons,28,4
112,spirit,17,6
113,stand,27,5
114,strength,16,8
115,strong,26,6
116,sun,21,3
126,thousand,28,8
130,together,18,8
131,true,16,4
133,united,16,6
134,unity,17,5
138,war,16,3
149,world,29,5
