"word","frequency"
"africa",17
"always",35
"beautiful",21
"beloved",23
"bless",29
"blood",38
"blue",18
"brave",19
"call",19
"canada",19
"children",22
"country",53
"day",19
"dear",22
"defend",20
"die",31
"eternal",18
"ever",37
"every",39
"fatherland",21
"flag",39
"forever",18
"free",74
"freedom",47
"fulfill",16
"give",20
"glorious",34
"glory",77
"god",113
"good",25
"great",54
"hand",16
"happiness",22
"heart",27
"hearts",24
"high",17
"home",21
"homeland",73
"honour",17
"hope",20
"if",38
"joy",17
"keep",15
"land",194
"light",26
"live",49
"living",16
"long",56
"love",59
"make",20
"man",17
"more",20
"name",32
"nation",59
"never",18
"new",21
"no",28
"noble",22
"not",59
"o",84
"oh",31
"out",22
"own",20
"peace",51
"people",80
"place",15
"protect",19
"proud",20
"sacred",19
"sea",19
"see",18
"sing",16
"sky",19
"soil",19
"song",17
"sons",28
"spirit",17
"stand",27
"strength",16
"strong",26
"sun",21
"thousand",28
"together",18
"true",16
"united",16
"unity",17
"war",16
"world",29
