word,frequency
land,194
god,113
o,84
people,80
glory,77
free,74
homeland,73
love,59
nation,59
not,59
long,56
great,54
country,53
peace,51
live,49
freedom,47
every,39
flag,39
blood,38
if,38
ever,37
always,35
glorious,34
name,32
die,31
oh,31
bless,29
world,29
no,28
sons,28
thousand,28
heart,27
stand,27
light,26
strong,26
good,25
hearts,24
beloved,23
children,22
dear,22
happiness,22
noble,22
out,22
beautiful,21
fatherland,21
home,21
new,21
sun,21
defend,20
give,20
hope,20
make,20
more,20
own,20
proud,20
brave,19
call,19
canada,19
day,19
protect,19
sacred,19
sea,19
sky,19
soil,19
blue,18
eternal,18
forever,18
never,18
see,18
together,18
africa,17
high,17
honour,17
joy,17
man,17
song,17
spirit,17
unity,17
fulfill,16
hand,16
living,16
sing,16
strength,16
TRUE,16
united,16
war,16
keep,15
place,15
