,word,frequency,word_length
0,a,282,1
1,africa,17,6
2,all,167,3
3,always,35,6
4,an,28,2
5,and,964,3
6,are,150,3
7,as,111,2
8,at,48,2
9,be,179,2
10,beautiful,21,9
11,before,22,6
12,beloved,23,7
13,bless,29,5
14,blood,38,5
15,blue,18,4
16,brave,19,5
17,but,26,3
18,by,97,2
19,call,19,4
20,canada,19,6
21,children,22,8
22,country,53,7
23,day,19,3
24,dear,22,4
25,defend,20,6
26,die,31,3
27,eternal,18,7
28,ever,37,4
29,every,39,5
30,fatherland,21,10
31,flag,39,4
32,for,286,3
33,forever,18,7
34,free,74,4
35,freedom,47,7
36,from,138,4
37,fulfill,16,7
38,give,20,4
39,glorious,34,8
40,glory,77,5
41,god,113,3
42,good,25,4
43,great,54,5
44,hand,16,4
45,happiness,22,9
46,has,59,3
47,have,65,4
48,heart,27,5
49,hearts,24,6
50,her,68,3
51,high,17,4
52,his,31,3
53,home,21,4
54,homeland,73,8
55,honour,17,6
56,hope,20,4
57,i,54,1
58,if,38,2
59,in,436,2
60,is,238,2
61,it,101,2
62,its,120,3
63,joy,17,3
64,keep,15,4
65,land,194,4
66,let,123,3
67,light,26,5
68,like,22,4
69,live,49,4
70,living,16,6
71,long,56,4
72,love,59,4
73,make,20,4
74,man,17,3
75,may,149,3
76,more,20,4
77,my,147,2
78,name,32,4
79,nation,59,6
80,never,18,5
81,new,21,3
82,no,28,2
83,noble,22,5
84,not,59,3
85,now,23,3
86,o,84,1
87,of,969,2
88,oh,31,2
89,on,107,2
90,one,65,3
91,or,45,2
92,our,661,3
93,out,22,3
94,over,30,4
95,own,20,3
96,peace,51,5
97,people,80,6
98,place,15,5
99,protect,19,7
100,proud,20,5
101,sacred,19,6
102,sea,19,3
103,see,18,3
104,shall,84,5
105,should,16,6
106,sing,16,4
107,sky,19,3
108,so,50,2
109,soil,19,4
110,song,17,4
111,sons,28,4
112,spirit,17,6
113,stand,27,5
114,strength,16,8
115,strong,26,6
116,sun,21,3
117,that,191,4
118,the,1649,3
119,thee,41,4
120,their,66,5
121,them,18,4
122,they,48,4
123,this,114,4
124,those,19,5
125,thou,23,4
126,thousand,28,8
127,through,22,7
128,thy,105,3
129,to,537,2
130,together,18,8
131,true,16,4
132,under,16,5
133,united,16,6
134,unity,17,5
135,up,51,2
136,upon,16,4
137,us,225,2
138,war,16,3
139,was,26,3
140,we,423,2
141,what,20,4
142,when,36,4
143,where,36,5
144,which,48,5
145,who,51,3
146,will,134,4
147,with,232,4
148,without,16,7
149,world,29,5
150,you,196,3
151,your,276,4
