country,c1,c2,c3,c4,c5,c6
Afghanistan,#000000,#009900,#BF0000,#D2534D,#DB8B70,#F4E5D7
Albania,#E41E20,#020000,#6F0F10,#AF1719,,
Algeria,#FFFFFF,#006233,#D21034,#EC99A8,#902A34,#DD4D68
Andorra,#D0103A,#0018A8,#FDDE00,#BBA373,#D9422D,#DFA41B
Angola,#CE1126,#000000,#F7D416,#97820D,#544807,#E3711E
Antigua and Barbuda,#CE1126,#000000,#0072C6,#FFFFFF,#FBD116,#952D54
Argentina,#74ACDF,#FFFFFF,#D1E3F4,#D7A454,#DBB892,#F3B10E
Armenia,#F2A800,#D90012,#0033A0,#50596B,#482271,
Australia,#00008B,#FEFEFE,#FF0101,#5656B3,#D3D3EB,#27279D
Austria,#ED2939,#FFFFFF,#F9B9BE,,,
Azerbaijan,#00B9E4,#3F9C35,#ED2939,#9E5972,#B44E37,#F36B76
the Bahamas,#00ABC9,#000000,#FAE042,#A8CE6E,#A9972D,#62581A
Bahrain,#CE1126,#FFFFFF,#E78893,#F5CDD2,#DB5060,
Bangladesh,#006A4E,#F42A41,#6C4E48,#A24045,,
Barbados,#00267F,#FFC726,#010100,#6A5310,,
Belarus,#C8313E,#4AA657,#FEFAFA,#E9ADB2,#D35B65,#9E5846
Belgium,#000000,#ED2939,#FAE042,,,
Belize,#003F87,#CE1126,#D5DBD6,#2A9104,#63A55C,#D0AF4C
Benin,#008751,#FCD116,#E8112D,,,
Bhutan,#FFD520,#FF4E12,#F3F3F3,#D4B8AD,#E6734C,#E5CC5D
Bolivia,#D52B1E,#007934,#FFE000,#F0A40A,#ABBE11,#A46021
Bosnia and Herzegovina,#002395,#FECB00,#FDFDFE,#97A6D4,#7F774A,#6177BD
Botswana,#75AADB,#000000,#FFFFFF,#AAAAAA,#BAD5ED,
Brazil,#009B3A,#FDDF00,#012876,#61B125,#304F90,#6FC790
Brunei,#F7E017,#FFFFFF,#010000,#CF1226,#E2751F,#DE5A68
Bulgaria,#FFFFFF,#D62612,#00966E,#47714F,#54B99E,
Burkina Faso,#009E49,#EF2B2D,#FCD116,#F89B1D,#8EBB2C,
Burundi,#1EB53A,#FFFFFF,#CE1126,#D8EEDA,#5CC870,#DD5867
Cambodia,#032EA1,#E00025,#A49FA0,#767273,#A05964,#752A37
Cameroon,#FCD116,#007A5E,#CE1126,#E6761E,,
Canada,#FF0000,#FFFFFF,#FFD0D0,#FF9191,#FF2C2C,#FF5050
Cape Verde,#003893,#FFFFFF,#CF2027,#DF696E,#F5D017,#B5A838
Central African Republic,#FFCE00,#FFFFFF,#289728,#003082,#D21034,#CDAF1A
Chad,#FECB00,#002664,#C60C30,,,
Chile,#D52B1E,#FFFFFF,#0039A6,#3663B9,#A3B8DF,#6A8CCB
China,#DE2910,#FFDC00,#EB6F0A,,,
